Incident energy,sigma
77.38555,0.0
77.4186,9.79932E-11
77.43947,1.12775E-10
77.46034,1.28411E-10
77.48121,1.44786E-10
77.50208,1.61779E-10
77.53454,1.89181E-10
77.567,2.17441E-10
77.60508,2.51296E-10
77.64315,2.85582E-10
77.68122,3.20096E-10
77.70026,3.37403E-10
77.71929,3.54719E-10
77.74698,3.79934E-10
77.76082,3.92542E-10
77.77466,4.05152E-10
77.78851,4.17773E-10
77.80235,4.30386E-10
77.82139,4.47739E-10
77.84042,4.65084E-10
77.85946,4.82438E-10
77.87849,4.99784E-10
77.89753,5.17139E-10
77.91656,5.34484E-10
77.95463,5.69185E-10
78.00308,6.13347E-10
78.0256,6.33874E-10
78.04811,6.54391E-10
78.07063,6.74918E-10
78.09314,6.95436E-10
78.12086,7.20703E-10
78.14857,7.4596E-10
78.18184,7.76286E-10
78.2151,8.06602E-10
78.28162,8.67235E-10
78.31257,8.95446E-10
78.34352,9.23656E-10
78.3559,9.34941E-10
78.3811,9.5791E-10
78.4063,9.8088E-10
78.4231,9.96193E-10
78.4399,1.011506E-9
78.4651,1.034476E-9
78.4903,1.057446E-9
78.53024,1.093851E-9
78.57018,1.130256E-9
78.61012,1.166661E-9
78.65005,1.203057E-9
78.67113,1.222271E-9
78.69221,1.241486E-9
78.71329,1.2607E-9
78.73437,1.279914E-9
78.75545,1.299129E-9
78.77653,1.318343E-9
78.81868,1.356763E-9
78.86084,1.395191E-9
78.90299,1.433611E-9
78.94515,1.472039E-9
78.9873,1.510459E-9
79.0228,1.542817E-9
79.0583,1.575175E-9
79.10046,1.613604E-9
79.14262,1.652033E-9
79.1637,1.671247E-9
79.18478,1.690461E-9
79.20586,1.709675E-9
79.22693,1.728881E-9
79.24801,1.748095E-9
79.26909,1.767309E-9
79.29017,1.786524E-9
79.31124,1.805729E-9
79.33232,1.824943E-9
79.3534,1.844158E-9
79.37448,1.863372E-9
79.39555,1.882577E-9
79.41441,1.899768E-9
79.43327,1.916959E-9
79.45213,1.93415E-9
79.47099,1.95134E-9
79.50871,1.985722E-9
79.54643,2.020104E-9
79.58193,2.052462E-9
79.61743,2.08482E-9
79.64582,2.110697E-9
79.6742,2.136565E-9
79.6802,2.142034E-9
79.6982,2.158441E-9
79.7162,2.174848E-9
79.73961,2.196186E-9
79.76301,2.217515E-9
79.80982,2.260182E-9
79.86239,2.3081E-9
79.88867,2.332054E-9
79.91495,2.356008E-9
79.94124,2.379971E-9
79.95438,2.391948E-9
79.96752,2.403925E-9
79.98066,2.415902E-9
79.9938,2.427879E-9
80.00694,2.439856E-9
80.02008,2.451834E-9
80.03213,2.462817E-9
80.04418,2.473801E-9
80.06827,2.495759E-9
80.09236,2.517716E-9
80.11645,2.539674E-9
80.14055,2.561641E-9
80.16464,2.583599E-9
80.21282,2.627515E-9
80.26538,2.675423E-9
80.29221,2.699879E-9
80.31904,2.724334E-9
80.34587,2.74879E-9
80.3727,2.773245E-9
80.38393,2.783481E-9
80.41199,2.809058E-9
80.44005,2.834634E-9
80.48919,2.879425E-9
80.53833,2.924216E-9
80.56361,2.947259E-9
80.58888,2.970292E-9
80.61416,2.993335E-9
80.63943,3.016368E-9
80.64785,3.024043E-9
80.65628,3.031727E-9
80.67894,3.052382E-9
80.70159,3.073027E-9
80.72425,3.093681E-9
80.7469,3.114327E-9
80.75633,3.122922E-9
80.79327,3.156593E-9
80.79743,3.160385E-9
80.80963,3.171505E-9
80.82182,3.182616E-9
80.8462,3.204838E-9
80.89975,3.253649E-9
80.95329,3.30245E-9
80.97624,3.323369E-9
80.99918,3.344279E-9
81.02977,3.372162E-9
81.05654,3.396562E-9
81.08331,3.420963E-9
81.0967,3.433168E-9
81.11008,3.445364E-9
81.13685,3.469765E-9
81.16362,3.494165E-9
81.19039,3.518566E-9
81.21716,3.542967E-9
81.24393,3.567368E-9
81.28982,3.609196E-9
81.3357,3.651015E-9
81.35865,3.671934E-9
