Incident energy,
Incident energy,
Incident energy,?(E)
77.33044,0.0
17700.0,0.0
22000.0,0.005481881
23000.0,0.006103001
26000.0,0.007873579
28000.0,0.008638521
30000.0,0.009647398
36000.0,0.0133651
40000.0,0.0153636
45000.0,0.0174886
50000.0,0.0200936
56000.0,0.0361057
60000.0,0.0476975
71000.0,0.06999299
80000.0,0.09296569
90000.0,0.135502
100000.0,0.170172
120000.0,0.21908
140000.0,0.266889
160000.0,0.321614
200000.0,0.423684
240000.0,0.515899
300000.0,0.606996
340000.0,0.648766
400000.0,0.703331
440000.0,0.739235
500000.0,0.788465
540000.0,0.806975
600000.0,0.823319
640000.0,0.82282
700000.0,0.804313
761000.0,0.773128
825000.0,0.72242
900000.0,0.642167
958000.0,0.568699
1040000.0,0.496651
1100000.0,0.449298
1169000.0,0.39662
1400000.0,0.264548
1555000.0,0.200448
1727000.0,0.145273
2000000.0,0.0844922
2171000.0,0.0591201
2370000.0,0.0385632
2600000.0,0.0233881
2927000.0,0.0116048
3344000.0,0.004788409
3927000.0,0.00143451
4400000.0,5.555279E-4
4897000.0,2.08915E-4
5382000.0,8.30878E-5
5500000.0,6.656971E-5
5600000.0,5.50859E-5
5700000.0,4.55984E-5
5850000.0,3.434839E-5
6000000.0,2.59118E-5
6400000.0,1.235569E-5
7000000.0,4.189709E-6
7400000.0,2.064531E-6
7760000.0,1.10755E-6
8400000.0,3.806751E-7
9000000.0,1.447439E-7
9370000.0,8.102544E-8
1.0E7,3.082849E-8
1.1E7,7.327844E-9
1.147E7,3.869797E-9
1.21E7,1.63996E-9
1.25E7,9.75391E-10
1.286E7,6.25953E-10
1.35E7,2.82382E-10
1.4E7,1.56046E-10
1.45E7,8.07462E-11
1.5E7,4.08671E-11
1.6E7,1.07962E-11
1.7E7,3.00375E-12
1.8E7,8.71492E-13
1.9E7,2.74993E-13
2.0E7,8.30884E-14
2.1E7,2.74026E-14
2.2E7,9.24303E-15
2.3E7,3.19723E-15
2.4E7,0.0
2.5E7,0.0
2.6E7,0.0
2.7E7,0.0
2.8E7,0.0
2.9E7,0.0
3.0E7,0.0
